z	n	name	levelEnergy(MeV)	halflife	halflifeUnit	halflifeUncertainty	massExcess(keV)	massExcessUncertainty
12	19	31Mg	0	270	ms	2	-3.12E+03	3.07
12	18	30Mg	0	314	ms	5	-8.88E+03	1.29
12	20	32Mg	0	80.4	ms	0.4	-8.28E+02	3.26
12	22	34Mg	0	44.9	ms	0.4	8.32E+3	6.89
12	21	33Mg	0	90.2	ms	0.9	4.96E+3	2.66
12	24	36Mg	0	7.2	ms	1.2	2.03E+4	6.90E+2
12	23	35Mg	0	11.3	ms	0.6	1.56E+4	2.69E+2
12	26	38Mg	0	3.1	ms	0.5	3.40E+4	5.03E+2
12	25	37Mg	0	6.4	ms	1.5	2.82E+4	6.98E+2
12	28	40Mg	0				4.95E+4	5.00E+2
12	9	21Mg	0	120	ms	0.8	1.09E+4	7.55E-1
12	8	20Mg	0	90.4	ms	0.8	1.74E+4	1.86
12	7	19Mg	0	3500	fs	2800	3.18E+4	6.00E+1
12	6	18Mg	0	115	keV	100		
13	9	22Al	0	88.6	ms	2.5	1.82E+4	4.01E+2
13	8	21Al	0	35	ns	<	2.70E+4	6.00E+2
13	22	35Al	0	38.4	ms	0.3	-2.23E+02	7.35
13	23	36Al	0	90	ms	40	5.95E+3	1.49E+2
13	20	33Al	0	41.5	ms	0.1	-8.49E+03	6.98
13	21	34Al	0	53.73	ms	0.13	-2.99E+03	2.1
13	21	34Al	0.04647	22.1	ms	0.2	-2.95E+03	2.10e+00
13	26	39Al	0	7.23	ms	0.3	2.14E+4	3.00E+2
13	27	40Al	0	5.7	ms	0.4	2.88E+4	3.00E+2
13	24	37Al	0	11.4	ms	0.3	9.80E+3	1.80E+2
13	25	38Al	0	9	ms	0.7	1.64E+4	1.50E+2
13	28	41Al	0	3.5	ms	0.9	3.45E+4	4.00E+2
13	29	42Al	0				4.19E+4	5.00E+2
13	30	43Al	0				4.82E+4	6.00E+2
13	11	24Al	0	2.053	s	0.004	-4.88E+01	2.28E-1
13	11	24Al	0.4258	130.7	ms	1.1	3.77e+02	2.28e-01
13	12	25Al	0	7.1666	s	0.0025	-8.91E+03	6.50E-2
13	10	23Al	0	447	ms	36	6.74E+3	3.45E-1
13	15	28Al	0	2.2483	m	0.0009	-1.68E+04	4.90E-2
13	16	29Al	0	6.56	m	0.06	-1.82E+04	3.45E-1
13	13	26Al	0	7.17e+05	y	1.71e+04	-1.22E+04	6.60E-2
13	13	26Al	0.228305	6.34603	s	0.00054	-1.20E+04	6.60e-02
13	14	27Al	0	STABLE			-1.71E+04	4.70E-2
13	19	32Al	0	31.7	ms	0.3	-1.10E+04	7.17
13	17	30Al	0	3.61	s	0.04	-1.58E+04	1.93
13	18	31Al	0	0.644	s	0.025	-1.49E+04	2.23
14	30	44Si	0				2.93E+4	5.00E+2
14	12	26Si	0	2.2452	s	0.0009	-7.14E+03	1.08E-1
14	13	27Si	0	4.111	s	0.002	-1.23E+04	1.07E-1
14	10	24Si	0	141.4	ms	1.2	1.07E+4	1.94E+1
14	11	25Si	0	219.2	ms	0.2	3.82E+3	1.00E+1
14	16	30Si	0	STABLE			-2.44E+04	2.20E-2
14	17	31Si	0	157.24	m	0.16	-2.29E+04	4.29E-2
14	14	28Si	0	STABLE			-2.14E+04	5.10E-4
14	15	29Si	0	STABLE			-2.18E+04	5.60E-4
14	18	32Si	0	163.3	y	6.2	-2.40E+04	2.98E-1
14	19	33Si	0	6.17	s	0.17	-2.05E+04	6.99E-1
14	23	37Si	0	141	ms	5	-6.57E+03	1.13E+2
14	24	38Si	0	63	ms	8	-4.17E+03	1.04E+2
14	21	35Si	0	0.78	s	0.12	-1.43E+04	3.58E+1
14	22	36Si	0	503	ms	2	-1.24E+04	7.17E+1
14	27	41Si	0	20	ms	2.5	1.32E+4	3.00E+2
14	28	42Si	0	15	ms	1.4	1.68E+4	3.00E+2
14	25	39Si	0	38.7	ms	1.2	2.32E+3	1.35E+2
14	26	40Si	0	30.3	ms	2.7	5.66E+3	1.21E+2
14	20	34Si	0	2.77	s	0.2	-1.99E+04	8.01E-1
14	29	43Si	0	13	ms	5	2.43E+4	4.00E+2
14	9	23Si	0	47	ms	1	2.39E+4	5.00E+2
14	8	22Si	0	28.4	ms	1.1	3.36E+4	5.00E+2
15	25	40P	0	150	ms	8	-8.13E+03	8.36E+1
15	24	39P	0	204	ms	39	-1.27E+04	1.12E+2
15	23	38P	0	640	ms	140	-1.46E+04	7.25E+1
15	22	37P	0	2.31	s	0.13	-1.89E+04	3.79E+1
15	29	44P	0	18.2	ms	0.8	1.11E+4	4.00E+2
15	28	43P	0	36.5	ms	1.5	5.04E+3	3.00E+2
15	27	42P	0	48.5	ms	1.5	1.09E+3	9.50E+1
15	26	41P	0	101	ms	5	-4.97E+03	1.20E+2
15	21	36P	0	5.6	s	0.3	-2.02E+04	1.31E+1
15	20	35P	0	47.3	s	0.7	-2.48E+04	1.86
15	32	47P	0				2.88E+4	6.00E+2
15	31	46P	0				2.28E+4	5.00E+2
15	30	45P	0	24	ms	11	1.59E+4	5.00E+2
15	14	29P	0	4.1022	s	0.0056	-1.69E+04	3.59E-1
15	13	28P	0	270.3	ms	0.5	-7.14E+03	1.14
15	12	27P	0	260	ms	80	-6.59E+02	9
15	11	26P	0	43.6	ms	0.3	1.09E+4	1.96E+2
15	18	33P	0	25.35	d	0.11	-2.63E+04	1.09
15	17	32P	0	14.267	d	0.006	-2.43E+04	4.00E-2
15	16	31P	0	STABLE			-2.44E+04	7.50E-4
15	15	30P	0	2.5	m	0.002	-2.02E+04	6.50E-2
15	10	25P	0	30	ns	<	2.01E+4	4.00E+2
15	19	34P	0	12.43	s	0.08	-2.45E+04	8.10E-1
16	33	49S	0				2.03E+4	5.83E+2
16	32	48S	0				1.23E+4	5.00E+2
16	31	47S	0				7.20E+3	4.00E+2
16	30	46S	0	50	ms	8	6.40E+2	4.00E+2
16	15	31S	0	2.5534	s	0.0018	-1.90E+04	2.29E-1
16	14	30S	0	1.17976	s	0.00055	-1.40E+04	2.06E-1
16	13	29S	0	188	ms	4	-3.09E+03	1.30E+1
16	12	28S	0	125	ms	10	4.07E+3	1.60E+2
16	19	35S	0	87.35	d	0.07	-2.88E+04	4.00E-2
16	18	34S	0	STABLE			-2.99E+04	4.50E-2
16	17	33S	0	STABLE			-2.65E+04	1.34E-3
16	16	32S	0	STABLE			-2.60E+04	1.31E-3
16	11	27S	0	16.3	ms	0.2	1.74E+4	4.00E+2
16	10	26S	0	79	ns	<	2.76E+4	6.00E+2
16	26	42S	0	1.016	s	0.013	-1.76E+04	2.79
16	25	41S	0	2.6	s	1.4	-1.90E+04	4.09
16	24	40S	0	8.8	s	2.2	-2.28E+04	3.98
16	23	39S	0	11.5	s	0.5	-2.31E+04	5.00E+1
16	29	45S	0	68	ms	2	-3.34E+03	3.00E+2
16	28	44S	0	124.5	ms	2.3	-9.20E+03	5.21
16	27	43S	0	265	ms	13	-1.21E+04	4.97
16	22	38S	0	170.3	m	0.7	-2.68E+04	7.17
16	21	37S	0	5.05	m	0.02	-2.68E+04	1.98E-1
16	20	36S	0	STABLE			-3.06E+04	1.88E-1
17	28	45Cl	0	413	ms	25	-1.82E+04	1.36E+2
17	29	46Cl	0	232	ms	2	-1.37E+04	9.72E+1
17	24	41Cl	0	38.4	s	0.8	-2.73E+04	6.87E+1
17	25	42Cl	0	6.8	s	0.3	-2.48E+04	5.96E+1
17	26	43Cl	0	3.13	s	0.09	-2.41E+04	6.18E+1
17	27	44Cl	0	542	ms	108	-2.04E+04	8.55E+1
17	20	37Cl	0	STABLE			-3.17E+04	5.20E-2
17	21	38Cl	0	37.236	m	0.012	-2.97E+04	9.80E-2
17	21	38Cl	0.671365	715	ms	3	-2.91E+04	9.80e-02
17	22	39Cl	0	56.2	m	0.6	-2.98E+04	1.73
17	23	40Cl	0	1.33	m	0.03	-2.75E+04	3.20E+1
17	35	52Cl	0				2.23E+4	7.00E+2
17	31	48Cl	0				-4.28E+03	5.00E+2
17	32	49Cl	0				7.40E+2	4.00E+2
17	33	50Cl	0				7.70E+3	4.00E+2
17	34	51Cl	0				1.42E+4	7.00E+2
17	30	47Cl	0	101	ms	6	-9.58E+03	2.00E+2
17	17	34Cl	0	1.5265	s	0.0004	-2.44E+04	4.90E-2
17	17	34Cl	0.14636000000000002	31.99	m	0.03	-2.43E+04	4.90e-02
17	18	35Cl	0	STABLE			-2.90E+04	3.50E-2
17	19	36Cl	0	3.01e+05	y	1.50e+03	-2.95E+04	3.60E-2
17	13	30Cl	0	30	ns	<	4.67E+3	2.38E+1
17	14	31Cl	0	190	ms	1	-7.03E+03	3.44
17	15	32Cl	0	299.1	ms	1	-1.33E+04	5.62E-1
17	16	33Cl	0	2.506	s	0.0022	-2.10E+04	3.91E-1
17	11	28Cl	0				2.82E+4	5.00E+2
17	12	29Cl	0	20	ns	<	1.40E+4	1.89E+2
18	36	54Ar	0				1.25E+4	8.00E+2
18	32	50Ar	0	105	ms	6	-1.32E+04	5.00E+2
18	33	51Ar	0				-6.49E+03	4.00E+2
18	34	52Ar	0				-1.38E+03	6.00E+2
18	35	53Ar	0				6.79E+3	6.99E+2
18	30	48Ar	0	416	ms	16	-2.23E+04	1.67E+1
18	31	49Ar	0	236	ms	8	-1.70E+04	4.00E+2
18	18	36Ar	0	STABLE			-3.02E+04	2.70E-2
18	19	37Ar	0	35.01	d	0.02	-3.09E+04	2.07E-1
18	14	32Ar	0	98	ms	2	-2.20E+03	1.77
18	15	33Ar	0	173	ms	2	-9.38E+03	4.01E-1
18	16	34Ar	0	846.46	ms	0.35	-1.83E+04	7.80E-2
18	17	35Ar	0	1.7754	s	0.001	-2.30E+04	6.80E-1
18	11	29Ar	0				3.79E+4	4.39E+2
18	12	30Ar	0	10	ps	<	2.20E+4	1.79E+2
18	13	31Ar	0	15	ms	0.3	1.13E+4	2.00E+2
18	29	47Ar	0	1.23	s	0.03	-2.53E+04	1.21
18	25	43Ar	0	5.37	m	0.06	-3.20E+04	5.31
18	26	44Ar	0	11.87	m	0.05	-3.26E+04	1.58
18	27	45Ar	0	21.48	s	0.15	-2.97E+04	5.12E-1
18	28	46Ar	0	8.4	s	0.5	-2.97E+04	2.32
18	21	39Ar	0	268	y	8	-3.32E+04	5
18	22	40Ar	0	STABLE			-3.50E+04	2.18E-3
18	23	41Ar	0	109.61	m	0.04	-3.30E+04	3.47E-1
18	24	42Ar	0	32.9	y	1.1	-3.44E+04	5.77
18	20	38Ar	0	STABLE			-3.47E+04	1.95E-1
19	40	59K	0				2.87E+4	8.00E+2
19	27	46K	0	96.31	s	0.078	-3.54E+04	7.27E-1
19	26	45K	0	17.79	m	0.43	-3.66E+04	5.22E-1
19	29	48K	0	6.8	s	0.2	-3.22E+04	7.73E-1
19	28	47K	0	17.38	s	0.03	-3.57E+04	1.39
19	23	42K	0	12.359	h	0.004	-3.50E+04	1.06E-1
19	22	41K	0	STABLE			-3.55E+04	3.76E-3
19	25	44K	0	22.13	m	0.19	-3.57E+04	4.19E-1
19	24	43K	0	22.28	h	0.11	-3.65E+04	4.10E-1
19	21	40K	0	1.25e+09	y	3.00e+06	-3.35E+04	5.60E-2
19	20	39K	0	STABLE			-3.38E+04	4.56E-3
19	38	57K	0				1.41E+4	6.00E+2
19	37	56K	0				7.98E+3	6.00E+2
19	34	53K	0	30	ms	5	-1.22E+04	1.11E+2
19	33	52K	0	110	ms	4	-1.71E+04	3.35E+1
19	36	55K	0				4.70E+2	5.00E+2
19	35	54K	0	10	ms	5	-5.15E+03	4.00E+2
19	30	49K	0	1.26	s	0.05	-2.96E+04	8.01E-1
19	32	51K	0	365	ms	5	-2.25E+04	1.30E+1
19	31	50K	0	472	ms	4	-2.57E+04	7.73
19	19	38K	0	7.645	m	0.02	-2.88E+04	1.95E-1
19	19	38K	0.13022	924.4	ms	0.21	-2.87E+04	1.95e-01
19	16	35K	0	178	ms	8	-1.11E+04	5.12E-1
19	18	37K	0	1.23647	s	0.00041	-2.48E+04	9.40E-2
19	17	36K	0	341	ms	3	-1.74E+04	3.25E-1
19	12	31K	0	0.01	ns	<		
20	39	59Ca	0				5.81E+3	6.00E+2
20	38	58Ca	0				-1.53E+03	5.00E+2
20	37	57Ca	0				-6.56E+03	4.00E+2
20	36	56Ca	0	11	ms	2	-1.35E+04	2.49E+2
20	35	55Ca	0	22	ms	2	-1.86E+04	1.60E+2
20	34	54Ca	0	90	ms	8	-2.51E+04	4.84E+1
20	33	53Ca	0	461	ms	90	-2.93E+04	4.37E+1
20	32	52Ca	0	4.6	s	0.3	-3.42E+04	6.71E-1
20	31	51Ca	0	10	s	0.8	-3.63E+04	5.22E-1
20	30	50Ca	0	13.45	s	0.07	-3.95E+04	1.58
20	40	60Ca	0				1.10E+4	7.00E+2
20	19	39Ca	0	860.3	ms	0.8	-2.72E+04	5.96E-1
20	18	38Ca	0	443.77	ms	0.25	-2.20E+04	1.94E-1
20	17	37Ca	0	181	ms	0.9	-1.31E+04	6.34E-1
20	16	36Ca	0	100.8	ms	1.3	-6.45E+03	4.00E+1
20	15	35Ca	0	25.7	ms	0.2	5.19E+3	2.00E+2
20	29	49Ca	0	8.718	m	0.006	-4.13E+04	1.78E-1
20	28	48Ca	0	5.60e+19	y	1.40e+19-1.10e+19	-4.42E+04	1.80E-2
20	27	47Ca	0	4.536	d	0.002	-4.23E+04	2.22
20	26	46Ca	0	STABLE			-4.31E+04	2.23
20	25	45Ca	0	162.61	d	0.09	-4.08E+04	3.65E-1
20	24	44Ca	0	STABLE			-4.14E+04	3.25E-1
20	23	43Ca	0	STABLE			-3.84E+04	2.27E-1
20	22	42Ca	0	STABLE			-3.85E+04	1.48E-1
20	21	41Ca	0	9.94e+04	y	1.50e+03	-3.51E+04	1.38E-1
20	20	40Ca	0	STABLE			-3.48E+04	2.00E-2
21	29	50Sc	0	102.5	s	0.5	-4.45E+04	2.51
21	29	50Sc	0.256895	0.35	s	0.03	-4.43E+04	2.52e+00
21	28	49Sc	0	57.2	m	0.15	-4.65E+04	2.26
21	27	48Sc	0	43.71	h	0.08	-4.45E+04	4.95
21	26	47Sc	0	3.3491	d	0.0006	-4.43E+04	1.93
21	25	46Sc	0	83.808	d	0.029	-4.17E+04	6.71E-1
21	25	46Sc	0.142528	18.746	s	0.04	-4.16E+04	6.71e-01
21	24	45Sc	0	STABLE			-4.10E+04	6.63E-1
21	24	45Sc	0.012400000000000001	325.8	ms	4.2	-4.11E+04	6.63e-01
21	23	44Sc	0	4.042	h	0.0024	-3.78E+04	1.75
21	23	44Sc	0.27124000000000004	58.62	h	0.09	-3.75E+04	1.76e+00
21	22	43Sc	0	3.891	h	0.012	-3.61E+04	1.86
21	21	42Sc	0	680.79	ms	0.28	-3.21E+04	1.54E-1
21	21	42Sc	0.616771	61.7	s	0.3	-3.15E+04	1.54e-01
21	20	41Sc	0	596.3	ms	1.7	-2.86E+04	7.70E-2
21	39	60Sc	0				-4.55E+03	5.00E+2
21	38	59Sc	0				-1.08E+04	2.49E+2
21	37	58Sc	0	12	ms	5	-1.54E+04	1.90E+2
21	36	57Sc	0	20	ms	4	-2.13E+04	1.79E+2
21	35	56Sc	0	26	ms	6	-2.55E+04	2.59E+2
21	34	55Sc	0	92	ms	4	-3.08E+04	6.24E+1
21	33	54Sc	0	526	ms	15	-3.44E+04	1.39E+1
21	32	53Sc	0	2.4	s	0.6	-3.87E+04	1.76E+1
21	31	52Sc	0	8.2	s	0.2	-4.05E+04	3.07
21	30	51Sc	0	12.5	s	0.1	-4.32E+04	2.51
21	19	40Sc	0	182.4	ms	0.8	-2.05E+04	2.82
21	18	39Sc	0				-1.41E+04	2.40E+1
21	41	62Sc	0				7.31E+3	6.00E+2
21	40	61Sc	0				5.00E+2	6.00E+2
22	39	61Ti	0	15	ms	4	-1.63E+04	3.00E+2
22	38	60Ti	0	22.2	ms	1.6	-2.20E+04	2.40E+2
22	37	59Ti	0	28.5	ms	1.9	-2.58E+04	3.00E+2
22	36	58Ti	0	55	ms	6	-3.09E+04	1.83E+2
22	35	57Ti	0	94	ms	8	-3.44E+04	2.05E+2
22	34	56Ti	0	199	ms	6	-3.94E+04	1.00E+2
22	33	55Ti	0	1.3	s	0.1	-4.18E+04	2.88E+1
22	32	54Ti	0	1.6	s	0.4	-4.57E+04	1.58E+1
22	31	53Ti	0	32.7	s	0.9	-4.68E+04	2.88
22	30	52Ti	0	1.7	m	0.1	-4.94E+04	2.74
22	42	64Ti	0				-1.48E+03	6.00E+2
22	41	63Ti	0				-5.86E+03	5.00E+2
22	40	62Ti	0				-1.22E+04	4.00E+2
22	19	41Ti	0	81.9	ms	0.5	-1.56E+04	2.79E+1
22	18	40Ti	0	52.4	ms	0.3	-8.99E+03	6.82E+1
22	17	39Ti	0	28.5	ms	0.9	2.50E+3	2.00E+2
