angle,xsec,integral
0.102472,14230.000000,2776940.000000
0.103575,13650.000000,2790590.000000
0.104678,13090.000000,2803680.000000
0.105781,12550.000000,2816230.000000
0.106884,12030.000000,2828260.000000
0.107987,11520.000000,2839780.000000
0.109090,11040.000000,2850820.000000
0.110193,10570.000000,2861390.000000
0.111296,10130.000000,2871520.000000
0.112399,9694.000000,2881214.000000
0.113502,9276.000000,2890490.000000
0.114605,8874.000000,2899364.000000
0.115708,8486.000000,2907850.000000
0.116811,8112.000000,2915962.000000
0.117915,7751.000000,2923713.000000
0.119018,7403.000000,2931116.000000
0.120121,7068.000000,2938184.000000
0.121225,6744.000000,2944928.000000
0.122328,6433.000000,2951361.000000
0.123431,6133.000000,2957494.000000
0.124535,5844.000000,2963338.000000
0.125638,5566.000000,2968904.000000
0.126742,5298.000000,2974202.000000
0.127845,5040.000000,2979242.000000
0.128949,4793.000000,2984035.000000
0.130053,4555.000000,2988590.000000
0.131156,4326.000000,2992916.000000
0.132260,4106.000000,2997022.000000
0.133364,3896.000000,3000918.000000
0.134468,3694.000000,3004612.000000
0.135571,3500.000000,3008112.000000
0.136675,3315.000000,3011427.000000
0.137779,3137.000000,3014564.000000
0.138883,2967.000000,3017531.000000
0.139987,2805.000000,3020336.000000
0.141091,2650.000000,3022986.000000
0.142195,2502.000000,3025488.000000
0.143299,2361.000000,3027849.000000
0.144404,2226.000000,3030075.000000
0.145508,2098.000000,3032173.000000
0.146612,1976.000000,3034149.000000
0.147716,1860.000000,3036009.000000
0.148821,1751.000000,3037760.000000
0.149925,1646.000000,3039406.000000
0.151030,1547.000000,3040953.000000
0.152134,1454.000000,3042407.000000
0.153239,1365.000000,3043772.000000
0.154343,1282.000000,3045054.000000
0.155448,1203.000000,3046257.000000
0.156552,1129.000000,3047386.000000
0.157657,1059.000000,3048445.000000
0.158762,993.300000,3049438.300000
0.159867,931.700000,3050370.000000
0.160972,873.900000,3051243.900000
0.162076,819.900000,3052063.800000
0.163181,769.400000,3052833.200000
0.164286,722.400000,3053555.600000
0.165391,678.600000,3054234.200000
0.166497,637.900000,3054872.100000
0.167602,600.200000,3055472.300000
0.168707,565.300000,3056037.600000
0.169812,533.100000,3056570.700000
0.170917,503.500000,3057074.200000
0.172023,476.300000,3057550.500000
0.173128,451.400000,3058001.900000
0.174234,428.600000,3058430.500000
0.175339,407.900000,3058838.400000
0.176445,389.200000,3059227.600000
0.177550,372.300000,3059599.900000
0.178656,357.100000,3059957.000000
0.179762,343.500000,3060300.500000
0.180868,331.400000,3060631.900000
0.181973,320.800000,3060952.700000
0.183079,311.400000,3061264.100000
0.184185,303.300000,3061567.400000
0.185291,296.300000,3061863.700000
0.186397,290.400000,3062154.100000
0.187503,285.400000,3062439.500000
0.188609,281.300000,3062720.800000
0.189716,278.000000,3062998.800000
0.190822,275.500000,3063274.300000
0.191928,273.600000,3063547.900000
0.193035,272.400000,3063820.300000
0.194141,271.700000,3064092.000000
0.195248,271.500000,3064363.500000
0.196354,271.700000,3064635.200000
0.197461,272.300000,3064907.500000
0.198568,273.200000,3065180.700000
0.199674,274.400000,3065455.100000
0.200781,275.800000,3065730.900000
0.201888,277.400000,3066008.300000
0.202995,279.100000,3066287.400000
0.204102,280.900000,3066568.300000
0.205209,282.900000,3066851.200000
0.206316,284.800000,3067136.000000
0.207423,286.800000,3067422.800000
0.208531,288.700000,3067711.500000
